Aika,Signaali
2.03215525,-1.516768456
2.040028785,-1.418892622
2.047963355,-1.406175375
2.05583689,-1.448879004
2.063710426,-1.432986021
2.071675513,-1.392194986
2.079579566,-1.358201742
2.087544654,-1.233416557
2.095448707,-1.160061359
2.103291724,-1.073850632
2.11128733,-1.001493931
2.119130347,-0.9097490311
2.127064918,-0.7749848366
2.134907935,-0.6519184113
2.142811988,-0.5320882797
2.150746558,-0.4092860222
2.158650611,-0.2126374245
2.166585181,-0.08961772919
2.174458717,0.05043745041
2.182332252,0.166138649
2.190266822,0.3307557106
2.198170875,0.4613566399
2.206074928,0.569355011
2.213948463,0.6566734314
2.221821998,0.6997365952
2.229787086,0.6971926689
2.237630103,0.7092175484
2.245595191,0.6725664139
2.253468726,0.6000247002
2.261342262,0.5703225136
2.269307349,0.5803318024
2.277150367,0.5188803673
2.285115455,0.4782810211
2.29298899,0.5256061554
2.300832008,0.7207541466
2.308797096,1.188910961
2.316670631,1.154336929
2.324605201,1.108241558
2.332509254,0.932243824
2.340382789,0.5762319565
2.348317359,0.2639846802
2.356221412,0.02668952942
2.364155982,-0.2841024399
2.372029517,-0.511534214
2.379903053,-0.7074131966
2.387837623,-0.9497952461
2.395741676,-1.136747122
2.403645728,-1.402423382
2.411549781,-1.7673316
2.419453834,-2.113631487
2.427388404,-2.378393173
2.435261939,-2.604171991
2.44319651,-2.799603224
2.451070045,-2.969862938
2.458974097,-2.9741745
2.466939185,-2.972279549
2.474812721,-2.978686571
2.482716773,-3.006469727
2.490620826,-3.00112915
2.498524879,-3.037635803
2.506459449,-2.953908682
2.514363502,-2.935688734
2.522298072,-2.933001757
2.53014109,-2.860270739
2.538045142,-2.764649868
2.545979713,-2.679808617
2.553853248,-2.591625214
2.561818336,-2.445548296
2.569691871,-2.285189629
2.577595924,-2.068773031
2.585499976,-1.860871077
2.593404029,-1.736879826
2.601338599,-1.621961117
2.609212135,-1.526787519
2.617055152,-1.505729437
2.625050758,-1.50910449
2.63295481,-1.523118258
2.640889381,-1.526519537
2.648762916,-1.544910192
2.656605933,-1.561036587
2.664571021,-1.508399725
2.672475074,-1.453439951
2.680379127,-1.371232748
2.68828318,-1.236999989
2.696187232,-1.131243706
2.704091285,-1.050244331
2.711995338,-0.8825745583
2.719929908,-0.703933239
2.727833961,-0.5708041191
2.735707496,-0.4981970787
2.743642066,-0.4382519722
2.751485084,-0.3553724289
2.759419654,-0.2249965668
2.767293189,0.02003622055
2.775197242,0.2181448936
2.783131812,0.4186649323
2.79097483,0.6084938049
2.798939918,0.7165141106
2.806813453,0.8427300453
2.814686988,0.9560580254
2.822652076,0.9189090729
2.830525611,0.8790874481
2.838490699,0.8187227249
2.846394752,0.6743397713
2.854237769,0.3887262344
2.862202857,0.2665472031
2.87010691,0.25111866
2.87804148,0.6010689735
2.885915015,0.4486460686
2.893819068,0.3353404999
2.901753638,0.07758378983
2.909596656,-0.242254734
2.917561744,-0.4265913963
2.925465797,-0.6661498547
2.933339332,-0.8029682636
2.94130442,-0.9111275673
2.949147437,-1.028420448
2.957082008,-1.252426386
2.96498606,-1.381812572
2.972890113,-1.441324711
2.980794166,-1.490138054
2.988698219,-1.49330616
2.996602271,-1.416208744
3.004536842,-1.397698402
3.012379859,-1.36741209
3.020344947,-1.335097075
3.028218482,-1.4080863
3.036153053,-1.375140429
3.044087623,-1.446639538
3.051991676,-1.592176914
3.059926246,-1.695392847
3.067769263,-1.865529776
3.075703834,-1.981199265
3.083577369,-2.065574169
3.091450904,-2.104536533
3.099415992,-2.126621485
3.107289527,-2.093297005
3.115254615,-1.962975025
3.12312815,-1.864871502
3.131001685,-1.766229868
3.138966773,-1.652403116
3.146870826,-1.599657536
3.154805396,-1.521663189
3.162678931,-1.46120739
3.170582984,-1.492545605
3.178487037,-1.469517708
3.18639109,-1.432169437
3.194295142,-1.368268251
3.202229713,-1.320665121
3.210103248,-1.280148745
3.218037818,-1.229314566
3.225911353,-1.126486778
3.233876441,-0.9926915169
3.241749976,-0.8885843754
3.249654029,-0.7697103024
3.257588599,-0.5693707466
3.265462135,-0.467297554
3.273427222,-0.3496565819
3.281300758,-0.1637487411
3.289174293,-0.05812501907
3.297108863,0.06430387497
3.304982398,0.2274518013
3.312916969,0.4504899979
